ÅÅÃû	Á´½Ó	¹Ø¼ü´Ê
92	http://www.huffingtonpost.com/news/abc	abc
3	http://abcnews.go.com/	abc
92	http://www.huffingtonpost.com/news/abc	abc
3	http://abcnews.go.com/	abc
4	http://stock.finance.sina.com.cn/usstock/quotes/ABC.html	abc
92	http://www.huffingtonpost.com/news/abc	abc
3	http://abcnews.go.com/	abc
4	http://stock.finance.sina.com.cn/usstock/quotes/ABC.html	abc
9	http://www.abc.net.au/	abc
92	http://www.huffingtonpost.com/news/abc	abc
3	http://abcnews.go.com/	abc
4	http://stock.finance.sina.com.cn/usstock/quotes/ABC.html	abc
9	http://www.abc.net.au/	abc
21	http://www.abc.net.au/news/	abc
80	http://news.ifeng.com/history/zhongguojindaishi/detail_2012_10/27/18604646_0.shtml	ab
8	http://stock.finance.sina.com.cn/usstock/quotes/AB.html	ab
