ÅÅÃû	Á´½Ó	¹Ø¼ü´Ê
3	http://abcnews.go.com/	abc
16	http://abcnews.go.com/Business/	abc
18	http://news.sina.com.cn/w/2014-01-11/125029215041.shtml	abc
21	http://abcnews.go.com/Video?from=abcnewsnow	abc
22	http://abcnews.go.com/News/	abc
23	http://video.sina.com.cn/p/news/v/2014-01-12/235463371363.html	abc
75	http://www.abc.net.au/news/	abc
83	http://www.abc15.com/	abc
92	http://www.huffingtonpost.com/news/abc	abc
32	http://news.sina.com.cn/h/2009-08-12/085618418072.shtml	ab
79	http://news.mydrivers.com/1/275/275039.htm	ab
80	http://news.ifeng.com/history/zhongguojindaishi/detail_2012_10/27/18604646_0.shtml	ab
